Date,Actual Average Daily Temperature (Degrees Farenheit),30 Year Normal Average Daily Temperature (Degrees Farenheit)
2/23/2016,60.42,60.25
2/24/2016,61.55,60.33
2/25/2016,62,60.32
2/26/2016,62.83,60.34
2/27/2016,63.8,60.38
2/28/2016,62.97,60.44
2/29/2016,62.3,60.47
3/1/2016,62.97,60.66
3/2/2016,62.22,60.78
3/3/2016,62.9,60.85
3/4/2016,62.75,60.86
3/5/2016,61.33,60.91
3/6/2016,61.55,60.98
3/7/2016,59.6,61.03
3/8/2016,54.58,60.98
3/9/2016,50.83,60.96
3/10/2016,47.53,60.98
3/11/2016,51.2,61.07
3/12/2016,56.97,61.18
3/13/2016,60.05,61.3
3/14/2016,61.17,61.36
3/15/2016,62.22,61.43
3/16/2016,63.05,61.49
3/17/2016,62.6,61.56
3/18/2016,60.65,61.69
3/19/2016,60.2,61.86
3/20/2016,59.6,61.98
3/21/2016,61.33,62.06
3/22/2016,62.3,62.12
3/23/2016,62.3,62.24
3/24/2016,64.25,62.38
3/25/2016,63.13,62.54
3/26/2016,63.58,62.69
3/27/2016,66.65,62.82
3/28/2016,66.72,62.94
3/29/2016,64.63,63.08
3/30/2016,65,63.25
3/31/2016,65.07,63.46
4/1/2016,64.18,63.67
4/2/2016,65.45,63.83
4/3/2016,67.3,63.99
4/4/2016,65,64.17
4/5/2016,66.88,64.39
4/6/2016,66.28,64.64
4/7/2016,66.95,64.87
4/8/2016,66.8,65.05
4/9/2016,68.15,65.2
4/10/2016,67.4,65.36
4/11/2016,65.97,65.53
4/12/2016,66.72,65.69
4/13/2016,66.72,65.84
4/14/2016,66.2,65.95
4/15/2016,65.6,66
4/16/2016,67.63,66.1
4/17/2016,71.82,66.22
4/18/2016,68.97,66.33
4/19/2016,67.03,66.41
4/20/2016,65.9,66.49
4/21/2016,66.13,66.56
4/22/2016,64.47,66.65
4/23/2016,65.07,66.75
4/24/2016,65.53,66.85
4/25/2016,63.95,66.92
4/26/2016,65.53,66.98
4/27/2016,67.25,67.07
4/28/2016,65.38,67.16
4/29/2016,64.63,67.29
4/30/2016,65.22,67.44
5/1/2016,67.78,67.53
5/2/2016,69.2,67.64
5/3/2016,67.85,67.74
5/4/2016,68.38,67.92
5/5/2016,70.18,68.05
5/6/2016,67.85,68.18
5/7/2016,71.97,68.28
5/8/2016,70.03,68.38
5/9/2016,69.2,68.49
5/10/2016,68.82,68.58
5/11/2016,69.28,68.68
5/12/2016,69.8,68.75
5/13/2016,68.68,68.79
5/14/2016,69.35,68.81
5/15/2016,67.1,68.82
5/16/2016,66.43,68.84
5/17/2016,68.38,68.84
5/18/2016,70.63,68.86
5/19/2016,68.6,68.82
5/20/2016,69.35,68.79
5/21/2016,70.63,68.77
5/22/2016,71.22,68.8
5/23/2016,70.93,68.79
5/24/2016,71.22,68.8
5/25/2016,71.38,68.81
5/26/2016,72.95,68.77
5/27/2016,71.38,68.72
5/28/2016,72.35,68.67
5/29/2016,71.82,68.62
5/30/2016,70.7,68.62
5/31/2016,70.85,68.61
6/1/2016,69.72,68.58
6/2/2016,68.75,68.5
6/3/2016,68.68,68.43
