Date,CALAVO GROWERS INC##,Fresh Del Monte Produce Inc. Common Stock,Chipotle Mexican Grill Inc. Common Stock,Sysco Corporation Common Stock
4/17/2018,98.5000,50.3200,334.6100,62.5000
4/16/2018,97.2500,49.5500,326.6000,61.2600
4/13/2018,95.8000,48.8700,318.3600,60.4200
4/12/2018,95.2000,48.3200,325.0800,60.5100
4/11/2018,94.4500,48.2600,321.7500,60.5200
4/10/2018,93.5000,47.9800,321.7700,60.6200
4/9/2018,91.9500,47.9500,317.1000,59.8500
4/6/2018,91.1000,47.8000,318.0700,59.7200
4/5/2018,94.0000,47.8800,327.7100,60.3100
4/4/2018,96.1000,47.8500,325.8400,61.2100
4/3/2018,96.3000,45.9200,316.6600,59.4400
4/2/2018,93.0000,45.2700,311.1600,58.3600
3/30/2018,92.6000,45.2550,317.1350,59.1600
3/29/2018,92.2000,45.2400,323.1100,59.9600
3/28/2018,91.2500,45.0900,319.5100,59.3700
3/27/2018,90.7500,45.1900,322.9600,59.3600
3/26/2018,89.8000,45.3500,327.8600,59.9600
3/23/2018,88.4000,44.7500,322.3000,59.3200
3/22/2018,89.2500,44.9500,336.7100,59.7700
3/21/2018,90.3000,46.0400,334.5200,60.3000
3/20/2018,90.9500,46.8900,320.1700,60.4300
3/19/2018,89.9500,46.9900,316.8000,60.1800
3/16/2018,91.2500,47.4200,320.2000,60.1200
3/15/2018,92.0500,47.3200,318.9100,59.3800
3/14/2018,94.0000,47.4900,319.6600,59.8800
3/13/2018,90.8000,47.5000,326.8000,60.7000
3/12/2018,90.3500,47.5200,323.7600,60.5200
3/9/2018,88.0000,47.7900,322.1600,61.2800
3/8/2018,87.2000,47.4100,321.8600,60.4800
3/7/2018,84.3500,48.1500,319.9500,60.1300
3/6/2018,84.7500,47.3800,318.0400,60.8700
3/5/2018,82.7500,47.2200,320.1600,60.0400
3/2/2018,84.2000,47.2900,319.9900,59.6600
3/1/2018,84.1500,47.1000,313.2600,59.4600
2/28/2018,85.3500,46.6800,318.4100,59.6500
2/27/2018,87.1000,46.9000,319.1500,59.8500
2/26/2018,88.1000,47.0500,311.8900,60.2800
2/23/2018,86.6000,47.6000,315.8200,59.6800
2/22/2018,86.0750,49.1800,313.9100,58.8600
2/21/2018,87.1500,46.3500,320.9600,58.5500
2/20/2018,87.3500,45.4100,317.5700,58.8800
2/19/2018,88.1500,45.9850,311.6000,59.4400
2/16/2018,88.9500,46.5600,305.6300,60.0000
2/15/2018,89.2500,46.4300,286.6500,59.3700
2/14/2018,88.2500,46.3200,289.9100,58.3500
2/13/2018,86.5000,45.1100,251.3300,58.4200
2/12/2018,84.7500,44.8200,254.4500,58.1300
2/9/2018,83.8500,44.7000,255.4600,58.3300
2/8/2018,83.8500,44.7100,266.0100,57.0000
2/7/2018,84.7000,45.6800,272.2100,58.4300
2/6/2018,83.7500,46.3200,304.3300,59.6400
2/5/2018,83.6500,45.1800,300.3000,57.4800
2/2/2018,86.0000,45.9100,311.6400,61.1800
2/1/2018,86.9000,46.9900,314.7200,61.9900
1/31/2018,87.0000,47.3100,324.7600,62.8700
1/30/2018,87.0000,47.5100,322.0800,63.3000
1/29/2018,87.1000,47.7700,332.3300,63.3900
1/26/2018,87.0500,48.3200,330.2300,64.1200
1/25/2018,87.1000,48.5200,333.9700,63.9900
1/24/2018,86.7000,49.0000,329.5300,63.7300
1/23/2018,87.2500,49.2500,328.7100,63.3400
1/22/2018,87.9500,49.4300,330.0000,63.5900
1/19/2018,88.6000,48.9200,343.8700,63.2100
1/18/2018,88.1000,48.6700,337.5300,62.2200
1/17/2018,89.4000,49.1600,334.6300,62.2000
1/16/2018,88.1500,48.6400,327.3700,61.7200
1/15/2018,88.3250,48.7050,327.3550,61.5500
1/12/2018,88.5000,48.7700,327.3400,61.3800
1/11/2018,86.9000,48.8200,325.5000,61.2200
1/10/2018,87.3500,48.2300,321.8000,61.3500
1/9/2018,88.7000,48.5500,319.3700,61.3800
1/8/2018,87.5000,48.2800,318.4700,61.5800
1/5/2018,86.4500,48.2000,313.7900,61.4500
1/4/2018,86.5000,48.1900,307.1100,60.8400
1/3/2018,85.1000,47.2000,309.0000,60.6300
1/2/2018,85.9000,46.9300,292.9500,60.5000
1/1/2018,85.1500,47.3000,290.9900,60.6150
12/29/2017,84.4000,47.6700,289.0300,60.7300
12/28/2017,84.2500,48.4100,294.8200,61.0600
12/27/2017,78.7500,47.8200,295.4200,60.8600
12/26/2017,79.1500,48.0500,295.5200,60.7600
12/25/2017,78.9250,48.0450,295.3750,60.7400
12/22/2017,78.7000,48.0400,295.2300,60.7200
12/21/2017,78.6000,47.7100,292.4000,60.5900
12/20/2017,79.2500,47.4900,298.6700,60.7800
12/19/2017,77.4000,47.4400,313.1700,61.0200
12/18/2017,75.4500,47.5800,313.4200,61.3400
12/15/2017,75.1000,47.1000,312.1200,60.9500
12/14/2017,74.4500,46.1900,314.0200,60.9000
12/13/2017,75.4500,46.5200,319.7000,61.6200
12/12/2017,73.1500,47.2900,318.3800,61.8400
12/11/2017,71.0500,47.2100,313.3900,61.9800
12/8/2017,71.9000,47.3700,315.9000,62.6400
12/7/2017,72.4000,48.1800,313.6500,60.9100
12/6/2017,74.0000,49.2800,310.6700,59.5200
12/5/2017,75.5500,49.1700,315.5600,59.2800
12/4/2017,77.1500,49.3700,315.6000,59.5300
12/1/2017,76.7500,48.5200,307.5900,57.7800
11/30/2017,76.4000,48.7000,304.3900,57.7300
11/29/2017,76.4500,48.9900,301.9900,57.7000
11/28/2017,75.7000,47.0800,285.8600,56.3300
11/27/2017,74.1500,45.8800,274.5200,55.1600
11/24/2017,74.8000,45.8300,279.3100,54.9200
11/23/2017,74.6500,45.9200,280.2900,54.9100
11/22/2017,74.5000,46.0100,281.2700,54.9000
11/21/2017,74.8500,46.4000,279.5100,54.6500
11/20/2017,74.2500,47.4900,283.2500,54.9700
11/17/2017,73.5500,47.0400,289.8400,54.8900
11/16/2017,73.2500,45.9200,283.7000,54.4800
11/15/2017,72.0500,45.3500,285.4500,54.1000
11/14/2017,72.6250,46.3600,280.9000,54.9300
11/13/2017,71.2500,46.2100,277.5000,54.0200
11/10/2017,71.1500,46.4900,279.4500,54.1900
11/9/2017,70.6500,46.6200,275.0000,54.0200
11/8/2017,70.7000,46.8300,273.9000,53.9800
11/7/2017,69.3500,45.4200,274.5000,52.5900
11/6/2017,70.5500,46.5500,275.7700,54.1700
11/3/2017,71.4500,46.5000,273.5300,56.6600
11/2/2017,71.7500,44.6500,279.4600,55.8400
11/1/2017,72.3000,44.0100,270.2000,55.5600
10/31/2017,73.7000,44.5100,271.9000,55.6200
10/30/2017,71.3500,48.7800,268.7000,54.6900
10/27/2017,72.3500,49.2000,276.1200,54.8000
10/26/2017,70.2500,48.6700,281.5200,54.8600
10/25/2017,69.7500,48.7800,277.0100,54.5500
10/24/2017,69.8500,49.0800,324.3000,54.7400
10/23/2017,70.2500,48.1300,320.4500,54.9500
10/20/2017,70.7000,47.5500,324.7600,54.8900
10/19/2017,69.8000,46.9900,325.2700,54.7400
10/18/2017,70.2500,46.6600,318.2400,54.8700
10/17/2017,70.4000,47.0100,329.3000,54.8300
10/16/2017,70.9500,46.9100,320.3900,54.7500
10/13/2017,70.8000,46.0500,326.4500,54.4500
10/12/2017,70.9500,45.8500,314.1700,54.2800
10/11/2017,71.0500,45.8400,311.4900,53.7800
10/10/2017,72.3000,45.7800,310.8800,53.9300
10/9/2017,72.1000,45.9000,303.9200,53.9700
10/6/2017,73.2500,46.3300,307.6400,54.2300
10/5/2017,73.8500,46.8100,310.3500,54.2900
10/4/2017,74.2500,46.7500,306.8100,54.2400
10/3/2017,74.1000,47.8700,302.9900,53.7400
10/2/2017,74.8000,47.5100,301.8100,53.9800
